lemme,gender
main,f
enfant,m
maison,f
mort,f
fin,f
gens,m
part,f
tour,f
livre,m
voiture,f
geste,m
ombre,f
gauche,f
chef,m
cours,m
poche,f
politique,f
chance,f
plat,m
page,f
garde,f
mémoire,f
saint,m
camarade,m
merci,m
oeuvre,f
poste,m
espace,m
gorge,f
ministre,m
somme,f
couple,m
professeur,m
gosse,m
môme,m
manche,f
arabe,m
élève,m
aide,f
chéri,m
radio,f
artiste,m
mode,f
gloire,f
barbe,f
communiste,m
voile,m
justice,f
mai,m
peintre,m
imbécile,m
secrétaire,m
auto,f
adulte,m
commissaire,m
carrière,f
i,m
vase,m
propriétaire,m
collègue,m
pratique,f
boche,m
critique,m
journaliste,m
crème,f
domestique,m
orange,f
mousse,f
concierge,m
esclave,m
technique,f
souris,f
fonctionnaire,m
vapeur,f
malaise,m
manoeuvre,f
hérétique,m
adversaire,m
office,m
touriste,m
plastique,m
ordonnance,f
guide,m
ancêtre,m
philosophe,m
amateur,m
remarque,f
prof,m
poêle,m
litre,m
alentour,m
photographe,m
spécialiste,m
ivrogne,m
partenaire,m
foudre,f
disciple,m
locataire,m
claque,f
enseigne,f
tien,m
bosse,f
pédal,m
pendule,f
notable,m
trompette,f
aigle,m
pilote,m
diplomate,m
cycliste,m
mannequin,m
tap,m
pensionnaire,m
galer,m
rebelle,m
intermédiaire,m
infirme,m
cartouche,f
indigène,m
moule,f
compatriote,m
solde,f
crêpe,f
paillasse,f
hymne,m
interprète,m
sandal,m
fleuriste,m
major,m
micro,m
jockey,m
psychiatre,m
nomade,m
coco,m
contraint,m
plain,m
architecte,m
anarchiste,m
faste,m
avant-guerre,f
dixième,m
pique,f
antiquaire,m
comptable,m
patriote,m
gîte,m
man,m
décombre,m
convive,m
bourre,f
faune,f
gaulliste,m
hirondelle,f
fanatique,m
martyre,m
relâche,f
greffe,f
casse,f
auxiliaire,m
dentiste,m
somnambule,m
pupille,f
automate,m
syrte,f
coke,m
arbitre,m
libraire,m
garagiste,m
pianiste,m
invalide,m
prolétaire,m
clope,f
sandwiche,m
représaille,f
momi,m
vétérinaire,m
parachutiste,m
masaï,m
dactylo,f
athée,m
archéologue,m
pub,f
milliardaire,m
guitariste,m
athlète,m
dignitaire,m
métèque,m
terroriste,m
acrobate,m
punk,m
cache,f
pompiste,m
novice,m
romance,f
der,m
aristocrate,m
môle,m
détective,m
bohème,f
rouquemoute,f
gynécologue,m
psy,m
carpe,f
automobiliste,m
psychologue,m
orge,f
séminariste,m
baume,m
corsaire,m
palabre,f
intempérie,f
basket,m
psychanalyste,m
matricule,m
yougoslave,m
germain,m
mercenaire,m
platine,f
bougnoule,m
aubergiste,m
frusque,f
orfèvre,m
hirondeau,m
après-guerre,f
bure,f
salin,m
condisciple,m
virtuose,m
petit-enfant,m
prolo,m
rocker,m
tartare,m
fan,m
mandataire,m
gréviste,m
alchimiste,m
autochtone,m
donne,f
adepte,m
finale,f
idéaliste,m
missionnaire,m
lessiveur,m
gauchiste,m
méninge,f
cornette,f
rombier,m
claude,m
coca,m
motocycliste,m
berceur,m
esthète,m
loquedu,m
bibliothécaire,m
stagiaire,m
collabo,m
violoniste,m
tortionnaire,m
diamantaire,m
correctionnel,m
dépositaire,m
éden,m
charentais,m
vêpre,f
affre,f
honoraire,m
muqueux,m
ponte,m
ébat,m
mioche,m
destinataire,m
noctambule,m
flashe,m
chromo,m
déshérité,m
saltimbanque,m
opalin,m
congénère,m
cosaque,m
millionnaire,m
bouquiniste,m
bénéficiaire,m
quinquagénaire,m
pro,m
soprano,m
protagoniste,m
entrefaite,f
souillard,m
dope,f
étale,f
maure,m
permissionnaire,m
réceptionniste,m
mythomane,m
créole,m
coche,f
moraliste,m
externe,m
serbe,m
die,f
cinéaste,m
suspense,m
comparse,m
humaniste,m
automitrailleur,m
amerloque,m
accordéoniste,m
retardataire,m
factionnaire,m
magnéto,m
croate,m
rustre,m
funambule,m
douairier,m
bureaucrate,m
espingo,m
pamplemousse,m
archiviste,m
modiste,f
chimiste,m
manucure,f
oripeau,m
ébéniste,m
standardiste,m
exhibitionniste,m
sociologue,m
israélite,m
épileptique,m
dilettante,m
énergumène,m
instit,m
alpiniste,m
transat,m
apache,m
pédagogue,m
sikh,m
quadragénaire,m
abdominal,m
extraterrestre,m
légiste,m
réserviste,m
bolchevik,m
astronome,m
vigile,m
matche,m
aristo,m
cannibale,m
teneur,f
alcoolo,m
homo,m
gymnaste,m
philologue,m
choriste,m
entomologiste,m
schizophrène,m
autodidacte,m
entournure,f
moujingue,m
petro,m
oto-rhino,m
apatride,m
téléphoniste,m
concessionnaire,m
démêlé,m
néophyte,m
miro,m
commissionnaire,m
rotond,m
franquiste,m
cinquantième,m
saussaie,f
régicide,m
anar,m
trotskiste,m
cosmétique,m
septuagénaire,m
arpète,m
mini,f
aune,f
garde-malade,m
bégonia,m
parano,m
machiniste,m
chausse,f
brandebourg,m
taoïste,m
meulier,m
commanditaire,m
yankee,m
alto,m
tronçonneur,m
souillon,m
analyste,m
intello,m
statuaire,m
soliste,m
arrière-grand-parent,m
pandore,m
astrologue,m
surgé,m
fusilier-marin,m
typographe,m
traditionaliste,m
vandale,m
garenne,f
pécore,f
sexagénaire,m
activiste,m
barbouze,f
scarlatin,m
proxénète,m
fortif,f
étampe,f
organiste,m
trapéziste,m
hellène,m
cadène,f
travailliste,m
humoriste,m
